CODIGO,PADRE,AÑO,NOMBRE,PAGOS
1.1.4.3,1.1.4,2017,CONCEJO - SOLO MUNICIPIOS,3241580160
1.1.4.3,1.1.4,2016,APORTES PARAFISCALES,51486916.071
1.2.2.3.2.1,1.2.2.3.2,2016,DE CONCEJALES MUNICIPIOS DE CATEGORÍA ESPECIAL 1 2 Y 3,202514.358
1.1.3.4,1.1.3,2017,PERSONERIA - SOLO MUNICIPIOS,2440080032
1.1.4.3.5.1,1.1.4.3.5,2017,CONCEJO - SOLO MUNICIPIOS,360319597
1.1.1.7.1,1.1.1.7,2017,SECRETARÍA DE SALUD,3835526
1.1.1.8,1.1.1,2017,PERSONERIA - SOLO MUNICIPIOS,5667124853
1.1.4.2,1.1.4,2017,PERSONERIA - SOLO MUNICIPIOS,9519976149
1.1.4.2.1.2.1,1.1.4.2.1.2,2017,CONCEJO - SOLO MUNICIPIOS,2586272650
1.1.4.3.5,1.1.4.3,2016,INSTITUTOS TÉCNICOS,3693875.974
1.1.1.5,1.1.1,2017,CONCEJO - SOLO MUNICIPIOS,556814934
1.1.1.4,1.1.1,2017,CONTRALORIA,33005209195
1.1.4.2.1.4.1,1.1.4.2.1.4,2017,SECRETARÍA DE SALUD,223505167
1.1.4.3.4.1,1.1.4.3.4,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,375623900
1.2.2.3.5,1.2.2.3,2017,CONCEJO - SOLO MUNICIPIOS,1318987172
1.2.2.6,1.2.2,2016,SERVICIOS PÚBLICOS,13717915.643
1.1.4.2.1.4.1,1.1.4.2.1.4,2017,SECRETARÍA DE EDUCACIÓN,1499185888
1.2,1,2017,CONTRALORIA,2921411028
1.1.3.1,1.1.3,2017,CONCEJO - SOLO MUNICIPIOS,815534582
1.3,1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,6996391175
1.3,1,2016,TRANSFERENCIAS CORRIENTES,1550627402.265
1.1.3,1.1,2017,SECRETARÍA DE EDUCACIÓN,2696861120
1.1.1.7.1,1.1.1.7,2017,SECRETARÍA DE EDUCACIÓN,126472574
1.3.2,1.3,2017,ADMINISTRACIÓN CENTRAL,21133355822
1.1.1.9,1.1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,0
1.1.4.3.2,1.1.4.3,2017,CONTRALORIA,2268731541
1.2,1,2016,GASTOS GENERALES,348225454.264
1.1.4.1,1.1.4,2017,SECRETARÍA DE SALUD,3038769361
1.1.1.1,1.1.1,2017,CONCEJO - SOLO MUNICIPIOS,25281579256
1.2.1.9,1.2.1,2017,SECRETARÍA DE EDUCACIÓN,1729042170
1.2.2.3,1.2.2,2016,SEGUROS,15754193.834
1.3.6.1.2,1.3.6.1,2016,A OTROS ESTABLECIMIENTOS PÚBLICOS,271935930.869
1.2.2.2,1.2.2,2017,ADMINISTRACIÓN CENTRAL,1285359282
1.1.4.2.1.3,1.1.4.2.1,2017,CONCEJO - SOLO MUNICIPIOS,290092700
1.3.2,1.3,2016,CUOTAS PARTES DE MESADA PENSIONAL,23764754.108
1.1.4.3.3.1,1.1.4.3.3,2017,SECRETARÍA DE EDUCACIÓN,211342900
1.1.3,1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,2958651425
1.1,1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,197108917657
1.1.4.2.1.4.1,1.1.4.2.1.4,2017,CONCEJO - SOLO MUNICIPIOS,2157701417
1.3.6.6,1.3.6,2017,ADMINISTRACIÓN CENTRAL,10629970
1.1.4.2.1.2.1,1.1.4.2.1.2,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,491714294
1.3.6.1,1.3.6,2016,A ESTABLECIMIENTOS PÚBLICOS,271935930.869
1.1.1.8,1.1.1,2017,CONTRALORIA,3950339740
1.1.4.3.4.1,1.1.4.3.4,2017,SECRETARÍA DE EDUCACIÓN,1687586700
1.1.3.4,1.1.3,2017,CONTRALORIA,176206667
1.1.4.3.2.1,1.1.4.3.2,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,281741800
1.1.1.4,1.1.1,2017,ADMINISTRACIÓN CENTRAL,180661850518
1.1.4.3,1.1.4,2017,SECRETARÍA DE SALUD,3030982780
1.1.4.3.4.1,1.1.4.3.4,2017,SECRETARÍA DE SALUD,1346826880
1,,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,206245779252
1.2.1.9,1.2.1,2016,OTROS GASTOS ADQUISICIÓN DE BIENES,15496287.955
1.1.4.1.1.2.1,1.1.4.1.1.2,2017,CONCEJO - SOLO MUNICIPIOS,1773418950
1.2.2.6.2,1.2.2.6,2017,PERSONERIA - SOLO MUNICIPIOS,265554491
1.2.2.6.1,1.2.2.6,2017,SECRETARÍA DE EDUCACIÓN,774224859
1.1.4.1,1.1.4,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,1238084069
